id,s,t,h,r1,r2
591,537,434,10048,0.3368,0.3368
592,647,811,17958,0.48277,0.48277
593,777,869,10951,0.47108,0.47108
594,361,500,16888,0.72899,0.72899
595,894,704,17291,0.4477,0.4477
596,696,218,8534,0.23652,0.23652
597,728,605,3481,0.54957,0.54957
598,38,532,4867,0.36543,0.36543
599,145,363,6015,0.52249,0.52249
600,415,200,19689,0.41705,0.41705
601,568,872,13622,0.15887,0.15887
602,620,164,12738,1.03983,1.03983
603,611,329,7453,0.51191,0.51191
604,593,196,10066,0.89118,0.89118
605,520,897,108,0.49189,0.49189
606,850,374,657,0.40201,0.40201
607,686,67,15243,0.8725,0.8725
608,985,975,2430,0.84811,0.84811
609,625,339,9755,0.20882,0.20882
610,954,886,6164,0.50453,0.50453
611,62,585,4447,0.64749,0.64749
612,545,670,14645,0.53114,0.53114
613,559,164,18757,0.88546,0.88546
614,307,754,19228,0.96687,0.96687
615,228,851,14424,0.60159,0.60159
616,226,692,9103,0.59364,0.59364
617,111,967,8870,0.75815,0.75815
618,88,440,2318,0.51092,0.51092
619,513,166,7746,0.21707,0.21707
620,399,819,16133,0.31622,0.31622
621,803,161,2961,0.7925,0.7925
622,402,253,7293,0.32049,0.32049
623,192,414,19330,0.31468,0.31468
624,915,157,10328,0.45881,0.45881
625,908,3,10807,0.24677,0.24677
626,650,528,7503,0.49615,0.49615
627,761,992,16049,0.26808,0.26808
628,545,969,8852,0.30088,0.30088
629,749,695,13688,0.55172,0.55172
630,536,993,9850,0.21167,0.21167
631,303,727,15411,0.44306,0.44306
632,738,626,2135,0.47064,0.47064
633,137,105,15794,0.5902,0.5902
634,761,62,4147,0.4614,0.4614
635,31,975,8291,0.94553,0.94553
636,193,935,7956,0.34386,0.34386
637,186,276,13300,0.89216,0.89216
638,672,429,4311,0.62783,0.62783
639,646,140,8003,0.32719,0.32719
640,492,945,11040,0.97606,0.97606
641,608,255,16255,0.10489,0.10489
642,861,588,4223,0.80119,0.80119
643,444,381,12833,0.52457,0.52457
644,917,702,13502,0.23091,0.23091
645,224,283,18061,0.7485,0.7485
646,553,685,2687,0.51066,0.51066
647,2,856,16715,0.07464,0.07464
648,31,133,15980,0.54385,0.54385
649,856,723,16733,0.51588,0.51588
650,705,829,7191,0.20442,0.20442
651,688,460,390,0.55963,0.55963
652,979,449,17477,0.76229,0.76229
653,615,298,11497,0.71017,0.71017
654,431,483,9462,0.66297,0.66297
655,90,617,16057,0.43065,0.43065
656,292,214,8957,0.26517,0.26517
657,349,776,2555,0.57652,0.57652
658,61,957,17427,0.27144,0.27144
659,0,261,4478,0.251,0.251
660,532,359,18959,0.53355,0.53355
661,969,899,18814,0.34402,0.34402
662,381,542,19369,0.28958,0.28958
663,513,345,19328,0.09946,0.09946
664,944,971,1551,0.30183,0.30183
665,808,501,2982,0.22965,0.22965
666,82,71,9810,0.75078,0.75078
667,873,483,2579,0.61735,0.61735
668,900,444,16478,0.46151,0.46151
669,669,694,12385,0.73101,0.73101
670,418,290,10026,0.74003,0.74003
671,410,638,18982,1.06247,1.06247
672,373,558,17625,0.78911,0.78911
673,419,917,8315,0.71843,0.71843
674,860,253,17673,0.71446,0.71446
675,216,919,9169,0.56993,0.56993
676,786,137,5403,0.47704,0.47704
677,915,129,6096,0.94383,0.94383
678,236,441,4931,0.76646,0.76646
679,355,152,16295,0.73201,0.73201
680,308,198,11712,0.184,0.184
681,21,876,9392,0.81389,0.81389
682,155,287,11,0.59114,0.59114
683,577,968,3703,0.45274,0.45274
684,580,244,13925,0.81895,0.81895
685,982,697,5178,0.20557,0.20557
686,978,25,11623,0.75276,0.75276
687,497,427,13655,0.58131,0.58131
688,375,412,10208,0.45345,0.45345
689,687,874,16192,0.43056,0.43056
690,871,943,17350,0.79677,0.79677
691,935,312,5262,0.82388,0.82388
692,775,501,11587,0.68033,0.68033
693,714,763,2471,0.56148,0.56148
694,495,952,11144,0.19539,0.19539
695,574,915,1450,0.53889,0.53889
696,142,957,16185,0.73739,0.73739
697,560,795,18985,0.62963,0.62963
698,916,28,15952,0.93866,0.93866
699,833,529,13267,0.67052,0.67052
700,166,893,16497,0.86529,0.86529
701,990,493,4370,0.44549,0.44549
702,611,854,309,0.84492,0.84492
703,882,731,14744,0.70525,0.70525
704,103,807,8124,0.69538,0.69538
705,476,845,6449,0.70722,0.70722
706,668,647,4521,0.31595,0.31595
707,47,370,12039,0.52166,0.52166
708,649,769,15003,0.88872,0.88872
709,909,180,4322,0.30437,0.30437
710,740,500,1288,0.24825,0.24825
711,469,295,3183,0.86082,0.86082
712,628,460,1938,0.28815,0.28815
713,997,250,5466,0.67322,0.67322
714,134,497,4049,0.78667,0.78667
715,868,283,5953,0.6639,0.6639
716,116,412,13733,0.34647,0.34647
717,225,179,17198,1.14972,1.14972
718,58,887,6351,0.79084,0.79084
719,952,65,15963,0.61086,0.61086
720,609,540,19069,0.47543,0.47543
721,376,445,7006,0.58151,0.58151
722,21,112,903,0.68056,0.68056
723,691,285,4218,0.36455,0.36455
724,646,317,11140,0.71572,0.71572
725,194,53,19723,0.382,0.382
726,31,392,3968,0.63282,0.63282
727,144,963,8504,0.30454,0.30454
728,572,424,13273,0.43013,0.43013
729,188,688,17940,0.70038,0.70038
730,566,852,12933,0.58623,0.58623
731,628,140,9907,0.1958,0.1958
732,76,762,14341,0.19764,0.19764
733,825,883,13277,0.65521,0.65521
734,733,672,3615,0.44944,0.44944
735,247,863,17136,0.36088,0.36088
736,898,242,6038,0.42351,0.42351
737,629,172,12216,0.15076,0.15076
738,1,821,1499,0.84157,0.84157
739,308,64,7668,0.20549,0.20549
740,808,824,13211,0.0656,0.0656
741,998,575,16131,0.83242,0.83242
742,833,223,16926,0.61087,0.61087
743,146,360,14646,0.42645,0.42645
744,766,545,6342,0.54625,0.54625
745,854,683,9676,0.21572,0.21572
746,724,704,5811,0.51911,0.51911
747,671,588,5393,0.42312,0.42312
748,58,256,2881,0.93932,0.93932
749,593,444,773,0.63346,0.63346
750,302,781,10265,0.3788,0.3788
751,455,891,15346,0.4707,0.4707
752,9,641,2093,0.41173,0.41173
753,157,798,12130,0.6143,0.6143
754,810,928,8158,0.38137,0.38137
755,116,58,18810,0.70938,0.70938
756,562,49,1590,0.22261,0.22261
757,558,304,11383,0.48181,0.48181
758,212,874,4684,0.77281,0.77281
759,216,874,3963,0.17096,0.17096
